domain,error,timestamp,result
"google.com","","2025-10-31T16:19:32.629Z","{""domain"":""google.com"",""ip"":""209.85.203.101"",""ssl"":{""daysRemaining"":66,""valid"":true,""validFrom"":""2025-10-13T08:37:33.000Z"",""validTo"":""2026-01-05T08:37:32.000Z""},""whois"":{""registrarName"":""MarkMonitor Inc."",""creationDate"":""1997-09-15T04:00:00Z"",""expirationDate"":""2028-09-14T04:00:00Z""}}"
"example.com","","2025-10-31T16:19:33.386Z","{""domain"":""example.com"",""ip"":""23.220.75.245"",""ssl"":{""daysRemaining"":76,""valid"":true,""validFrom"":""2025-01-15T00:00:00.000Z"",""validTo"":""2026-01-15T23:59:59.000Z""},""whois"":{""registrarName"":""RESERVED-Internet Assigned Numbers Authority"",""creationDate"":""1995-08-14T04:00:00Z"",""expirationDate"":""2026-08-13T04:00:00Z""}}"
